City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cherskiy,94.0,RU,1567296559,71.0,68.75,161.3,36.80,2.49
Katsuura,75.0,JP,1567296560,88.0,33.93,134.5,77.00,2.6
Kodinar,66.0,IN,1567296560,92.0,20.79,70.7,78.92,3.23
Vaini,100.0,IN,1567296560,96.0,15.34,74.49,75.14,1.94
Jerome,1.0,US,1567296560,13.0,34.75,-112.11,100.00,4.1
Georgetown,20.0,GY,1567296363,78.0,6.8,-58.16,82.40,5.1
Ardatov,60.0,RU,1567296561,78.0,55.24,43.1,54.62,1.81
Ormara,24.0,PK,1567296288,85.0,25.21,64.64,81.08,2.72
Ancud,90.0,CL,1567296563,70.0,-41.87,-73.83,46.40,2.6
Rikitea,82.0,PF,1567296563,85.0,-23.12,-134.97,73.52,7.92
Cape Town,75.0,ZA,1567296564,81.0,-33.93,18.42,55.99,4.6
Saskylakh,20.0,RU,1567296564,62.0,71.97,114.09,44.18,0.97
Iglesias,90.0,ES,1567296564,93.0,42.3,-3.99,66.00,6.2
Amahai,83.0,ID,1567296564,77.0,-3.31,129.0,76.22,6.52
Lumeje,67.0,AO,1567296565,53.0,-11.56,20.78,67.94,1.72
Vrangel,0.0,RU,1567296565,66.0,42.73,133.08,70.10,0.45
Arraial do Cabo,0.0,BR,1567296565,77.0,-22.97,-42.02,74.24,5.32
Springbok,0.0,ZA,1567296565,83.0,-29.67,17.88,44.36,1.64
Esperance,0.0,AU,1567296566,81.0,-33.86,121.89,48.20,5.7
Aransas Pass,1.0,US,1567296333,59.0,27.91,-97.15,89.60,5.7
Cam Ranh,40.0,VN,1567296567,83.0,11.92,109.15,82.40,0.5
Hermanus,69.0,ZA,1567296567,78.0,-34.42,19.24,57.00,2.24
Benjamin Hill,60.0,MX,1567296568,53.0,30.17,-111.1,90.00,2.68
Vestmannaeyjar,100.0,IS,1567296317,84.0,63.44,-20.27,46.88,3.55
Carnarvon,0.0,ZA,1567296569,54.0,-30.97,22.13,41.12,2.58
Hamilton,75.0,CA,1567296374,59.0,43.26,-79.87,68.00,2.6
Port Blair,100.0,IN,1567296570,81.0,11.67,92.75,81.98,11.45
Boyolangu,76.0,ID,1567296570,81.0,-8.09,111.9,69.92,2.61
Avarua,94.0,CK,1567296497,64.0,-21.21,-159.78,71.60,1.5
Zenzeli,95.0,RU,1567296571,51.0,45.92,47.05,59.12,2.44
Vila Franca do Campo,20.0,PT,1567296572,88.0,37.72,-25.43,71.60,3.1
Atuona,27.0,PF,1567296572,76.0,-9.8,-139.03,78.92,6.96
Lusambo,25.0,CD,1567296573,94.0,-4.97,23.44,68.84,0.42
Matagami,94.0,NG,1567296573,97.0,9.67,8.4,68.12,1.65
Bluff,0.0,AU,1567296573,56.0,-23.58,149.07,68.84,1.7
Ushuaia,75.0,AR,1567296466,86.0,-54.81,-68.31,33.80,10.3
Tasiilaq,0.0,GL,1567296574,60.0,65.61,-37.64,41.00,3.1
Juneau,75.0,US,1567296469,42.0,58.3,-134.42,66.20,4.6
Mataura,1.0,NZ,1567296575,73.0,-46.19,168.86,55.99,4.47
Butaritari,88.0,KI,1567296575,74.0,3.07,172.79,84.68,4.93
Jamestown,35.0,AU,1567296508,72.0,-33.21,138.6,56.78,6.07
Karwar,100.0,IN,1567296578,87.0,14.8,74.13,78.20,3.62
Uzhur,66.0,RU,1567296579,90.0,55.32,89.85,55.70,3.34
Dikson,85.0,RU,1567296579,92.0,73.51,80.55,40.58,3.06
Albany,1.0,US,1567296303,55.0,42.65,-73.75,69.01,3.6
Oranjemund,0.0,ZA,1567296580,80.0,-28.55,16.43,55.16,10.05
Shingu,75.0,JP,1567296580,83.0,33.72,135.99,78.80,0.5
Sao Jose da Coroa Grande,1.0,BR,1567296581,95.0,-8.9,-35.15,68.84,1.44
Qaanaaq,80.0,GL,1567296581,47.0,77.48,-69.36,39.68,2.14
New Norfolk,75.0,AU,1567296581,66.0,-42.78,147.06,57.00,2.6
Tommot,1.0,RU,1567296582,74.0,58.97,126.27,54.80,0.36
San Patricio,58.0,PY,1567296582,66.0,-26.98,-56.83,57.14,3.38
Norman Wells,40.0,CA,1567296582,54.0,65.28,-126.83,53.60,4.6
Udachnyy,0.0,RU,1567296582,76.0,66.42,112.4,50.00,1.0
Tiksi,14.0,RU,1567296583,67.0,71.64,128.87,44.72,1.01
Bambous Virieux,40.0,MU,1567296583,73.0,-20.34,57.76,71.60,5.7
Punta Arenas,20.0,CL,1567296583,64.0,-53.16,-70.91,39.20,8.7
Mecca,25.0,SA,1567296324,70.0,21.43,39.83,81.98,1.51
Velyka Lepetykha,0.0,UA,1567296584,43.0,47.18,33.94,66.32,1.61
Aksarka,100.0,RU,1567296584,91.0,66.56,67.8,47.60,8.84
Yulara,0.0,AU,1567296584,19.0,-25.24,130.99,60.80,2.6
Mar del Plata,42.0,AR,1567296307,51.0,-46.43,-67.52,39.86,3.82
Lucea,40.0,JM,1567296585,74.0,18.44,-78.17,86.00,1.0
Chapais,20.0,CA,1567296585,57.0,49.78,-74.86,51.80,3.6
Roshchino,75.0,RU,1567296586,100.0,55.31,61.27,44.60,3.0
Vanimo,60.0,PG,1567296586,75.0,-2.67,141.3,81.62,3.85
Bredasdorp,6.0,ZA,1567296586,62.0,-34.53,20.04,57.00,4.6
Bethlehem,1.0,US,1567296586,46.0,40.62,-75.38,75.20,2.1
Nikolskoye,0.0,RU,1567296587,87.0,59.7,30.79,53.01,2.0
Pevek,100.0,RU,1567296587,90.0,69.7,170.27,35.72,3.95
Khatanga,64.0,RU,1567296587,53.0,71.98,102.47,45.62,2.98
Coquimbo,0.0,CL,1567296587,87.0,-29.95,-71.34,51.80,4.1
Mount Pleasant,1.0,US,1567296588,58.0,33.16,-94.97,88.00,1.34
Kusa,100.0,RU,1567296588,98.0,55.34,59.45,40.58,2.63
Thompson,90.0,CA,1567296588,81.0,55.74,-97.86,53.60,5.1
Goderich,93.0,CA,1567296589,69.0,43.74,-81.71,64.99,1.79
Sobolevo,27.0,RU,1567296589,95.0,54.43,31.9,53.18,2.3
Baiyin,0.0,CN,1567296589,100.0,36.55,104.13,48.20,2.0
Aksu,40.0,KZ,1567296590,87.0,52.04,76.93,48.20,5.0
Gravdal,88.0,NO,1567296590,82.0,59.79,5.78,59.00,11.3
Airai,69.0,TL,1567296590,37.0,-8.93,125.41,78.92,0.22
Amapa,20.0,HN,1567296590,59.0,15.09,-87.97,89.60,6.2
Makinsk,95.0,KZ,1567296591,92.0,52.63,70.42,44.18,4.33
San Andres,100.0,PH,1567296591,94.0,13.32,122.68,74.78,0.27
Ayagoz,18.0,KZ,1567296591,48.0,47.96,80.43,49.58,1.15
Matay,0.0,EG,1567296591,72.0,28.42,30.79,73.16,5.1
Bien Hoa,40.0,VN,1567296592,100.0,10.95,106.82,78.80,2.1
Faanui,95.0,PF,1567296592,80.0,-16.48,-151.75,75.50,7.4
Bonthe,100.0,SL,1567296592,94.0,7.53,-12.5,74.78,3.28
Berlevag,33.0,NO,1567296593,83.0,70.86,29.09,52.64,4.46
Ixtapa,40.0,MX,1567296593,66.0,20.71,-105.21,91.40,4.6
Sabaudia,0.0,IT,1567296594,69.0,41.3,13.03,75.99,1.5
Nanortalik,83.0,GL,1567296594,81.0,60.14,-45.24,44.90,0.2
Nantucket,1.0,US,1567296407,77.0,41.28,-70.1,69.80,4.03
Upernavik,42.0,GL,1567296594,66.0,72.79,-56.15,43.82,0.68
Samarai,97.0,PG,1567296595,70.0,-10.62,150.67,77.30,4.72
Ponta do Sol,86.0,BR,1567296595,41.0,-20.63,-46.0,73.70,1.48
Barrow,100.0,AR,1567296595,51.0,-38.31,-60.23,44.90,3.29
Alofi,70.0,NU,1567296595,61.0,-19.06,-169.92,77.00,7.7
Touros,0.0,BR,1567296479,94.0,-5.2,-35.46,75.20,1.5
Yellowknife,75.0,CA,1567296458,57.0,62.45,-114.38,50.00,2.6
Mahebourg,40.0,MU,1567296596,73.0,-20.41,57.7,71.60,5.7
Liverpool,20.0,GB,1567296597,87.0,53.41,-2.98,55.99,6.2
Nome,1.0,US,1567296582,78.0,30.04,-94.42,87.80,2.35
Port Elizabeth,1.0,US,1567296597,73.0,39.31,-74.98,78.01,3.1
Saint-Philippe,90.0,CA,1567296598,63.0,45.36,-73.48,68.00,1.5
Abu Samrah,0.0,SY,1567296598,73.0,35.3,37.18,71.36,3.37
Dudinka,0.0,RU,1567296598,87.0,69.41,86.18,50.00,5.0
Vestmanna,100.0,FO,1567296334,81.0,62.16,-7.17,46.40,9.8
Pareora,0.0,NZ,1567296599,38.0,-44.49,171.21,63.00,1.79
Lebu,40.0,ET,1567296599,93.0,8.96,38.73,55.40,3.1
Mount Gambier,40.0,AU,1567296599,87.0,-37.83,140.78,53.60,6.7
Port Alfred,0.0,ZA,1567296600,63.0,-33.59,26.89,60.01,4.02
Punta Umbria,0.0,ES,1567296600,66.0,37.18,-6.97,73.99,0.89
Yar-Sale,100.0,RU,1567296316,84.0,66.83,70.83,48.32,8.02
Vardo,1.0,US,1567296600,61.0,39.62,-77.74,79.00,2.91
Mansa,40.0,IN,1567296601,94.0,23.43,72.66,82.40,2.6
Tuatapere,24.0,NZ,1567296601,73.0,-46.13,167.69,55.99,4.47
Kapaa,40.0,US,1567296601,62.0,22.08,-159.32,89.60,6.2
Hobart,75.0,AU,1567296469,66.0,-42.88,147.33,60.01,2.6
Egvekinot,100.0,RU,1567296602,77.0,66.32,-179.17,46.70,2.28
Maraba,0.0,BR,1567296602,61.0,-5.35,-49.1,82.40,0.86
Skjervoy,76.0,NO,1567296603,82.0,70.03,20.97,52.82,3.68
Berdigestyakh,63.0,RU,1567296603,68.0,62.1,126.7,53.36,2.59
Denpasar,40.0,ID,1567296603,88.0,-8.65,115.22,75.20,5.7
Sinnamary,13.0,GF,1567296604,80.0,5.38,-52.96,81.62,7.81
Hilo,90.0,US,1567296604,58.0,19.71,-155.08,87.80,4.1
Gananoque,1.0,CA,1567296604,63.0,44.33,-76.16,68.00,1.5
Beaufort,75.0,MY,1567296605,88.0,5.36,115.76,80.60,0.5
Sambava,26.0,MG,1567296605,94.0,-14.27,50.17,62.54,1.74
Ishinomaki,75.0,JP,1567296606,69.0,38.42,141.3,77.00,1.5
Dongkan,67.0,CN,1567296606,78.0,34.0,119.83,72.62,2.18
Lira,27.0,UG,1567296606,95.0,2.25,32.9,62.72,1.28
Victoria,75.0,BN,1567296551,88.0,5.28,115.24,80.60,0.5
Longyearbyen,75.0,NO,1567296607,93.0,78.22,15.63,42.80,1.0
Ahipara,100.0,NZ,1567296607,84.0,-35.17,173.16,64.99,1.36
Bereda,90.0,ES,1567296607,88.0,43.27,-7.54,63.00,1.0
Russkaya Polyana,100.0,RU,1567296608,86.0,53.78,73.88,48.14,5.03
Jalu,0.0,LY,1567296608,36.0,29.03,21.55,75.14,5.16
Los Llanos de Aridane,75.0,ES,1567296608,73.0,28.66,-17.92,77.00,7.2
Tuktoyaktuk,90.0,CA,1567296593,75.0,69.44,-133.03,41.00,3.1
Pyu,100.0,MM,1567296609,99.0,18.48,96.43,70.46,1.3
Axim,100.0,GH,1567296609,92.0,4.87,-2.24,75.32,5.53
Praia,0.0,BR,1567296609,49.0,-20.25,-43.81,73.40,1.01
Vao,89.0,EE,1567296609,93.0,59.1,26.19,55.88,1.76
San-Pedro,93.0,CI,1567296610,97.0,4.75,-6.64,72.26,1.62
Faya,0.0,SA,1567296610,58.0,18.39,42.45,69.80,1.33
Aloleng,100.0,PH,1567296610,82.0,16.13,119.78,81.08,8.94
Saint George,20.0,GR,1567296611,68.0,39.45,22.34,69.80,0.37
Narsaq,100.0,GL,1567296611,61.0,60.91,-46.05,50.00,2.1
Hangu,20.0,PK,1567296614,58.0,33.53,71.06,86.00,3.1
Ewa Beach,40.0,US,1567296615,66.0,21.32,-158.01,91.40,3.6
Kodiak,1.0,US,1567296615,77.0,39.95,-94.76,75.20,2.6
Fortuna,0.0,ES,1567296616,78.0,38.18,-1.13,78.01,1.0
Mujiayingzi,40.0,CN,1567296616,49.0,42.12,118.78,65.42,4.49
Severo-Kurilsk,89.0,RU,1567296617,93.0,50.68,156.12,49.22,3.15
Astoria,90.0,US,1567296617,68.0,46.19,-123.83,80.01,7.2
Kedrovyy,90.0,RU,1567296617,100.0,56.17,91.82,57.20,1.0
Meadow Lake,40.0,CA,1567296618,52.0,54.13,-108.44,64.40,4.1
Brae,99.0,GB,1567296619,93.0,60.4,-1.35,51.80,7.2
Zatoka,0.0,PL,1567296619,88.0,50.04,20.52,68.00,1.5
Ashdod,75.0,IL,1567296620,78.0,31.8,34.65,78.80,3.6
Nyurba,68.0,RU,1567296620,86.0,63.29,118.35,57.32,1.02
Vostok,36.0,RU,1567296620,81.0,46.45,135.83,61.28,1.89
Ternate,75.0,PH,1567296620,94.0,14.29,120.72,84.99,1.0
Port Hardy,90.0,CA,1567296621,88.0,50.7,-127.42,64.40,1.5
Thinadhoo,65.0,MV,1567296332,77.0,0.53,72.93,82.34,5.34
Urengoy,63.0,RU,1567296621,96.0,65.96,78.37,48.14,3.59
Dinar,0.0,TR,1567296622,48.0,38.07,30.16,68.00,3.1
Minab,16.0,IR,1567296386,79.0,27.15,57.07,89.60,1.0
Puerto Ayora,75.0,EC,1567296623,69.0,-0.74,-90.35,77.00,2.1
Tyukhtet,83.0,RU,1567296623,85.0,56.54,89.31,56.78,5.31
East London,0.0,ZA,1567296624,76.0,-33.02,27.91,47.78,3.76
Namibe,45.0,AO,1567296624,83.0,-15.19,12.15,65.06,1.61
Tigil,33.0,RU,1567296624,60.0,57.8,158.67,55.88,1.83
Kharovsk,74.0,RU,1567296624,94.0,59.95,40.21,56.96,1.46
Malindi,19.0,KE,1567296624,91.0,-3.22,40.12,71.54,2.35
Beringovskiy,100.0,RU,1567296625,94.0,63.05,179.32,46.70,3.92
Mariestad,26.0,SE,1567296625,88.0,58.71,13.82,66.99,3.6
Jiangdu,100.0,CN,1567296625,86.0,32.43,119.56,73.99,2.37
Praia da Vitoria,20.0,PT,1567296626,88.0,38.73,-27.07,71.60,5.74
Cabo San Lucas,75.0,MX,1567296200,70.0,22.89,-109.91,90.00,2.03
Acapulco,90.0,MX,1567296627,70.0,16.86,-99.88,86.00,4.6
Baruun-Urt,61.0,MN,1567296627,48.0,46.68,113.28,64.70,2.8
Pisco,0.0,PE,1567296627,30.0,-13.71,-76.2,71.60,6.7
Iqaluit,90.0,CA,1567296628,81.0,63.75,-68.52,50.00,4.6
Umm Lajj,0.0,SA,1567296628,72.0,25.02,37.27,85.58,4.64
Umm Kaddadah,0.0,SD,1567296628,51.0,13.6,26.69,84.86,6.78
Halifax,40.0,CA,1567296411,55.0,44.65,-63.58,66.99,4.1
Busselton,41.0,AU,1567296629,57.0,-33.64,115.35,61.00,15.27
Saldanha,0.0,PT,1567296629,64.0,41.42,-6.55,68.30,1.08
San Angelo,65.0,US,1567296593,36.0,31.46,-100.44,93.00,2.24
Richards Bay,6.0,ZA,1567296429,62.0,-28.77,32.06,68.66,8.66
Solenzo,19.0,BF,1567296630,85.0,12.18,-4.08,73.52,1.37
Avera,1.0,US,1567296630,83.0,33.19,-82.53,87.80,2.1
Codrington,0.0,AU,1567296630,72.0,-28.95,153.24,66.99,0.67
Chuy,31.0,UY,1567296630,72.0,-33.69,-53.46,50.84,2.9
Luderitz,0.0,NA,1567296631,54.0,-26.65,15.16,57.20,7.2
Kokopo,99.0,PG,1567296631,56.0,-4.34,152.27,85.76,0.89
Luanda,61.0,AO,1567296427,88.0,-8.83,13.24,71.60,3.1
Rafai,98.0,CF,1567296631,99.0,4.95,23.92,68.66,0.63
North Platte,40.0,US,1567296632,58.0,41.12,-100.77,82.99,4.26
Sabha,2.0,LY,1567296632,17.0,27.03,14.43,86.66,3.13
Wuxue,100.0,CN,1567296632,79.0,29.85,115.56,73.16,0.96
Ballina,50.0,IE,1567296633,91.0,54.11,-9.15,54.00,0.89
Provideniya,100.0,RU,1567296633,90.0,64.42,-173.23,46.34,3.55
Tabas,0.0,IR,1567296633,22.0,33.6,56.92,80.60,2.1
Ambunti,83.0,PG,1567296634,89.0,-4.22,142.82,78.56,0.8
Antalaha,21.0,MG,1567296634,95.0,-14.9,50.28,60.02,1.83
Zell am See,88.0,AT,1567296634,90.0,47.32,12.8,62.01,0.45
Cap Malheureux,40.0,MU,1567296634,73.0,-19.98,57.61,71.60,5.7
Le Port,74.0,FR,1567296635,82.0,42.87,1.37,69.01,1.51
Maniitsoq,81.0,GL,1567296635,59.0,65.42,-52.9,45.62,3.98
Peleduy,38.0,RU,1567296635,80.0,59.63,112.75,53.72,1.61
Port Hedland,83.0,AU,1567296635,83.0,-20.31,118.58,69.80,3.1
Katangli,100.0,RU,1567296636,92.0,51.71,143.23,55.52,4.44
Horki,13.0,BY,1567296636,95.0,54.29,30.98,54.62,1.98
Kloulklubed,75.0,PW,1567296637,83.0,7.04,134.26,80.60,4.6
Caravelas,0.0,BR,1567296637,84.0,-17.73,-39.27,71.90,4.2
Poco Verde,34.0,BR,1567296535,91.0,-10.71,-38.18,63.62,3.16
Chernyshevskiy,19.0,RU,1567296638,80.0,63.01,112.47,54.98,0.38
Pasighat,96.0,IN,1567296638,73.0,28.06,95.33,73.34,1.54
Honiara,75.0,SB,1567296638,83.0,-9.43,159.96,82.40,1.5
Rodrigues Alves,40.0,BR,1567296638,88.0,-7.74,-72.65,77.00,0.19
Vega de Alatorre,79.0,MX,1567296639,69.0,20.03,-96.65,80.90,1.64
Coahuayana,100.0,MX,1567296639,77.0,18.62,-100.35,81.26,0.66
Constitucion,90.0,MX,1567296639,82.0,23.99,-104.67,66.00,2.1
Salalah,75.0,OM,1567296639,83.0,17.01,54.1,80.60,0.5
Bontang,79.0,ID,1567296640,86.0,0.12,117.47,77.12,1.63
Banda Aceh,100.0,ID,1567296640,77.0,5.56,95.32,82.34,8.39
Miles City,1.0,US,1567296477,28.0,46.41,-105.84,84.99,1.5
Kaitangata,30.0,NZ,1567296641,48.0,-46.28,169.85,60.01,3.58
Lavrentiya,100.0,RU,1567296641,79.0,65.58,-170.99,51.02,2.08
Kavieng,56.0,PG,1567296642,79.0,-2.57,150.8,82.16,5.87
Cidreira,65.0,BR,1567296642,83.0,-30.17,-50.22,57.32,3.95
Hami,100.0,CN,1567296642,11.0,42.84,93.51,84.86,4.97
Oyama,75.0,JP,1567296642,69.0,36.31,139.8,87.01,2.1
Camopi,51.0,GF,1567296643,72.0,3.17,-52.33,77.48,2.4
Beloha,0.0,MG,1567296643,40.0,-25.17,45.06,67.58,1.45
College,75.0,US,1567296643,52.0,64.86,-147.8,66.00,2.6
Trzebnica,0.0,PL,1567296643,77.0,51.31,17.06,72.00,0.5
Ust-Kuyga,2.0,RU,1567296644,41.0,70.0,135.55,48.68,3.06
Qaqortoq,100.0,GL,1567296644,61.0,60.72,-46.03,50.00,2.1
Mbekenyera,36.0,TZ,1567296644,90.0,-10.0,38.98,68.66,2.25
Tornio,0.0,FI,1567296645,93.0,61.12,27.27,55.40,2.1
Yashkul,91.0,RU,1567296645,26.0,46.17,45.34,64.70,2.58
Leh,21.0,IN,1567296645,60.0,34.16,77.58,45.80,2.52
Clyde River,90.0,CA,1567296646,93.0,70.47,-68.59,39.20,5.1
Talnakh,0.0,RU,1567296646,87.0,69.49,88.39,50.00,5.0
Kahului,40.0,US,1567296646,52.0,20.89,-156.47,91.40,6.7
Rayevskiy,59.0,RU,1567296646,93.0,54.07,54.94,38.42,3.06
Kruisfontein,45.0,ZA,1567296647,72.0,-34.0,24.73,51.20,5.19
Constantine,75.0,DZ,1567296647,93.0,36.36,6.61,66.20,2.6
Storforshei,89.0,NO,1567296647,93.0,66.4,14.52,55.00,2.09
Biak,100.0,ID,1567296648,95.0,-0.91,122.88,65.06,1.88
Sao Joao da Barra,0.0,BR,1567296648,83.0,-21.64,-41.05,73.40,5.1
Chimbote,93.0,PE,1567296648,91.0,-9.08,-78.59,59.30,6.96
Naze,100.0,NG,1567296649,95.0,5.43,7.07,73.70,1.0
Mbandaka,73.0,CD,1567296649,94.0,0.05,18.26,72.08,1.04
Vallenar,1.0,CL,1567296649,89.0,-28.58,-70.76,49.04,0.61
Bandarbeyla,17.0,SO,1567296650,74.0,9.49,50.81,75.86,10.78
Kuusamo,75.0,FI,1567296416,93.0,65.96,29.19,57.20,1.5
Sur,62.0,OM,1567296618,50.0,22.57,59.53,82.16,1.56
ChengDe,0.0,CN,1567296650,54.0,40.97,117.93,66.86,0.92
Pyapon,100.0,MM,1567296650,88.0,16.29,95.68,78.38,5.96
Pyinmana,97.0,MM,1567296651,97.0,19.74,96.21,72.44,3.3
Ust-Tsilma,0.0,RU,1567296651,96.0,65.44,52.15,35.54,1.17
Normandin,20.0,CA,1567296651,58.0,48.84,-72.53,57.20,3.6
Las Lomas,4.0,PE,1567296651,58.0,-4.66,-80.24,73.34,5.72
Yining,100.0,CN,1567296652,85.0,29.04,114.56,69.38,0.54
